rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
88,2049,上銀,250.0,1.23,3.31,6.28,14.76,58.8,7,17.4,1110334.0,21000.0,3597683.0,21559.0,False,False,0.0,0.0,0.0,未通過,未通過
89,2059,川湖,3335.0,1.15,-0.6,-0.39,19.12,49.5,0,38.9,-168922.0,-2034.0,-115066.0,-66215.0,False,False,0.0,0.0,0.0,未通過,未通過
90,1504,東元,60.4,0.87,1.17,-9.04,4.63,34.7,1,3.3,593262.0,-312000.0,-3664273.0,-697707.0,False,False,0.0,0.0,0.0,未通過,未通過
91,1513,中興電,151.5,1.14,0.66,-1.68,4.32,46.8,2,4.8,-129513.0,7000.0,99049.0,8351.0,False,False,0.0,0.0,0.0,未通過,未通過
92,1519,華城,817.0,0.94,0.37,-7.25,11.71,41.9,0,3.4,-164577.0,-7325.0,-946153.0,27475.0,False,False,0.0,0.0,0.0,未通過,未通過
93,1303,南亞,85.7,0.98,5.02,6.74,84.76,56.0,2,18.1,28493230.0,1983919.0,17995448.0,-2016081.0,False,False,0.0,0.0,0.0,未通過,未通過
94,1304,台聚,16.75,1.05,5.02,13.03,5.27,58.7,2,0.6,2843820.0,0.0,4773120.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
95,2610,華航,18.15,1.22,0.28,-2.36,5.8,39.3,1,20.0,-13029140.0,2945000.0,-41720244.0,862109.0,False,False,0.0,0.0,0.0,未通過,未通過
96,2609,陽明,50.6,1.02,-1.36,-9.94,8.84,34.1,0,-5.9,-7053387.0,-24788.0,-13171475.0,-280334.0,False,False,0.0,0.0,0.0,未通過,未通過
97,2603,長榮,200.0,1.0,-1.23,-3.66,16.74,44.9,0,-17.9,-2822269.0,-330392.0,-424253.0,-1076567.0,False,False,0.0,0.0,0.0,未通過,未通過
98,2548,華固,126.0,0.7,-1.18,5.58,2.22,62.3,15,81838.8,697062.0,-37000.0,1886846.0,-37000.0,False,False,0.0,0.0,0.0,未通過,未通過
99,2493,揚博,130.5,2.4,9.66,19.6,8.14,66.6,1,-6.2,856100.0,-11000.0,880983.0,-24000.0,False,False,0.0,0.0,0.0,未通過,未通過
100,2489,瑞軒,47.7,1.52,5.3,25.08,80.9,67.9,0,11.2,-13777054.0,0.0,-18172954.0,7199000.0,False,False,0.0,0.0,0.0,未通過,未通過
101,2485,兆赫,80.8,1.21,9.93,16.0,44.98,63.8,5,200.1,-961649.0,2000.0,2112920.0,14000.0,False,False,0.0,0.0,0.0,未通過,未通過
102,2486,一詮,194.0,1.15,4.58,30.2,46.16,70.4,5,20.1,-3528826.0,36000.0,2957354.0,1523000.0,False,False,0.0,0.0,0.0,未通過,未通過
103,2476,鉅祥,102.0,0.92,2.1,21.05,5.35,71.9,0,42.0,-594712.0,0.0,1781794.0,571.0,False,False,0.0,0.0,0.0,未通過,未通過
104,2474,可成,192.5,0.91,0.26,2.42,3.12,54.8,0,-25.0,-377324.0,-71799.0,-876380.0,-630976.0,False,False,0.0,0.0,0.0,未通過,未通過
105,3026,禾伸堂,213.0,0.78,9.79,61.54,23.47,85.5,0,0.1,-961800.0,-2000.0,-1017645.0,-5329.0,False,False,0.0,0.0,0.0,未通過,未通過
106,3031,佰鴻,31.15,2.79,9.88,38.53,9.48,78.5,0,22.7,-1227000.0,0.0,-759000.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
107,3034,聯詠,394.5,0.93,0.13,2.77,9.09,55.0,0,-9.6,-209414.0,-28353.0,248428.0,-192560.0,False,False,0.0,0.0,0.0,未通過,未通過
108,3028,增你強,59.8,0.72,0.67,11.89,2.84,64.3,5,125.2,173408.0,0.0,1694308.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
109,3030,德律,310.5,1.4,2.48,20.42,46.95,71.9,0,14.7,-2087863.0,-18000.0,-3520368.0,-39777.0,False,False,0.0,0.0,0.0,未通過,未通過
110,3005,神基,98.5,1.4,-1.5,-16.31,5.33,28.3,0,-7.4,-1630621.0,-48000.0,-3632105.0,-339000.0,False,False,0.0,0.0,0.0,未通過,未通過
111,3037,欣興,626.0,1.39,-1.88,22.35,368.18,66.1,2,23.3,-30543128.0,31395000.0,-27514373.0,31841112.0,False,False,0.0,0.0,0.0,未通過,未通過
112,3036,文曄,228.0,0.93,1.11,0.12,10.93,55.1,4,118.9,1123221.0,-831569.0,4253000.0,-3993939.0,False,False,0.0,0.0,0.0,未通過,未通過
113,3035,智原,149.0,0.79,-0.33,-1.82,2.1,46.8,2,-69.4,72400.0,-1611.0,46645.0,-6222.0,False,False,0.0,0.0,0.0,未通過,未通過
114,3042,晶技,129.5,1.15,9.75,36.39,22.72,87.2,0,2.7,-248050.0,0.0,-388050.0,-1529.0,False,False,0.0,0.0,0.0,未通過,未通過
115,3062,建漢,31.85,1.22,4.6,20.16,11.83,64.3,1,30.9,951216.0,0.0,-2415834.0,1000.0,False,False,0.0,0.0,0.0,未通過,未通過
116,3138,耀登,178.0,1.0,-3.78,-0.99,7.22,50.8,1,32.1,499365.0,0.0,-92143.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
117,3045,台灣大,110.0,1.07,0.0,1.23,7.61,62.8,19,5.8,4150817.0,-602595.0,10939316.0,692278.0,False,False,0.0,0.0,0.0,未通過,未通過
118,3044,健鼎,373.5,0.83,-0.4,3.26,11.95,54.7,0,24.4,-447637.0,-132921.0,713334.0,-281598.0,False,False,0.0,0.0,0.0,未通過,未通過
119,3189,景碩,366.5,0.95,-3.81,9.62,89.26,57.6,1,25.1,911061.0,-508084.0,-4525056.0,-1632243.0,False,False,0.0,0.0,0.0,未通過,未通過
120,3167,大量,614.0,0.57,-3.0,60.61,9.62,77.8,0,146.8,-85717.0,-92000.0,-74750.0,-93000.0,False,False,0.0,0.0,0.0,未通過,未通過
121,3376,新日興,198.0,0.92,-4.12,-3.56,10.69,45.8,1,-9.6,-2333471.0,1000.0,-1899222.0,718.0,False,False,0.0,0.0,0.0,未通過,未通過
122,3231,緯創,134.5,0.81,-0.37,3.99,36.38,57.1,4,117.7,5206219.0,-1286659.0,30469795.0,-1641822.0,False,False,0.0,0.0,0.0,未通過,未通過
123,3380,明泰,39.1,0.45,0.0,7.93,2.91,58.0,0,50.5,-940047.0,0.0,-4156128.0,1000.0,False,False,0.0,0.0,0.0,未通過,未通過
124,2615,萬海,76.5,1.05,-0.78,-2.52,6.92,46.6,1,-10.7,-583135.0,18356.0,-281070.0,395.0,False,False,0.0,0.0,0.0,未通過,未通過
125,2912,統一超,225.0,1.17,-1.1,1.8,5.18,53.7,1,4.9,-622470.0,2848.0,-427925.0,-535.0,False,False,0.0,0.0,0.0,未通過,未通過
126,2618,長榮航,35.1,1.34,0.72,1.44,6.79,49.5,1,18.5,-1393278.0,761685.0,-5115649.0,-899905.0,False,False,0.0,0.0,0.0,未通過,未通過
127,3450,聯鈞,309.5,1.02,0.98,12.26,67.89,62.5,3,-25.6,817098.0,0.0,12183569.0,-537.0,False,False,0.0,0.0,0.0,未通過,未通過
128,3443,創意,2775.0,1.14,4.13,14.42,82.27,62.5,4,33.5,47816.0,64033.0,334641.0,165115.0,False,False,0.0,0.0,0.0,未通過,未通過
129,3413,京鼎,317.5,1.02,0.79,4.55,7.22,58.7,5,26.8,615038.0,132000.0,2467068.0,-320000.0,False,False,0.0,0.0,0.0,未通過,未通過
130,3481,群創,26.3,0.57,1.15,-0.7,51.38,52.8,1,33.1,22008441.0,-1549553.0,-85363695.0,-3120210.0,False,False,0.0,0.0,0.0,未通過,未通過
131,3563,牧德,909.0,0.66,-1.41,24.04,19.03,71.5,1,11.1,-252056.0,56000.0,-593327.0,-40000.0,False,False,0.0,0.0,0.0,未通過,未通過
132,3576,聯合再生,17.1,0.74,-10.0,-23.68,3.62,38.6,2,-41.4,4448375.0,0.0,10049840.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
133,3533,嘉澤,2250.0,0.66,-0.88,16.02,20.01,62.5,9,23.4,128186.0,-198103.0,402020.0,-140207.0,False,False,0.0,0.0,0.0,未通過,未通過
134,3532,台勝科,182.0,1.46,9.97,33.58,10.19,72.2,2,15.8,888987.0,0.0,1449467.0,617000.0,False,False,0.0,0.0,0.0,未通過,未通過
135,3596,智易,174.0,0.73,0.58,-6.21,1.94,45.8,5,1.6,460026.0,0.0,868884.0,2000.0,False,False,0.0,0.0,0.0,未通過,未通過
136,3645,達邁,90.4,1.65,9.98,18.96,14.63,69.3,1,23.8,1600800.0,0.0,359260.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
137,3661,世芯-KY,3090.0,1.14,2.15,0.62,63.07,51.9,2,-46.6,283271.0,-8058.0,407429.0,-31093.0,False,False,0.0,0.0,0.0,未通過,未通過
138,3653,健策,4045.0,0.53,-1.94,9.52,32.3,59.2,1,18.9,-71166.0,10708.0,-140399.0,-132336.0,False,False,0.0,0.0,0.0,未通過,未通過
139,3665,貿聯-KY,2225.0,0.73,1.14,23.62,43.86,73.9,1,22.2,-160040.0,127523.0,-79840.0,177638.0,False,False,0.0,0.0,0.0,未通過,未通過
140,3673,TPK-KY,55.0,0.94,10.0,25.64,7.56,74.0,1,23.6,1974212.0,0.0,-563103.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
141,3583,辛耘,702.0,1.32,4.31,56.02,48.46,86.3,5,6.1,-118591.0,41000.0,3574419.0,488693.0,False,False,0.0,0.0,0.0,未通過,未通過
142,3535,晶彩科,130.5,1.62,-2.61,5.93,26.83,59.0,0,-9.3,-2154161.0,0.0,-3719252.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
143,3711,日月光投控,417.5,1.24,6.23,18.61,107.98,68.5,0,14.6,-572069.0,-201235.0,421204.0,-1024555.0,False,False,0.0,0.0,0.0,未通過,未通過
144,3706,神達,82.4,0.82,-0.72,3.29,8.48,56.5,1,43.2,-1517447.0,12000.0,7002383.0,8219.0,False,False,0.0,0.0,0.0,未通過,未通過
145,3715,定穎投控,186.5,0.67,0.0,9.37,36.37,56.5,0,41.9,-1095127.0,-98000.0,-7367286.0,-251423.0,False,False,0.0,0.0,0.0,未通過,未通過
146,3714,富采,57.2,1.08,10.0,23.42,34.36,64.0,3,-6.5,8598251.0,7000.0,3928336.0,32000.0,False,False,0.0,0.0,0.0,未通過,未通過
147,4576,大銀微系統,181.5,0.96,10.0,39.58,9.92,82.3,4,49.5,443188.0,0.0,2472061.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
